lib,trial,test_group,type,region,thread_ms,real_ms,iters,total_cpu_ms,total_real_ms,soft_faults,hard_faults
confh,1,loop,perf,Open,1.714,1.731,1,,,
confh,1,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,1.267,1.273,1000,,,
confh,1,loop,perf,Close,0.088,0.088,1,,,
confh,1,loop,function,parse multiple values of the same table,,,1,6.353,6.660,92,0
lua,1,loop,perf,Open,1.397,1.435,1,,,
lua,1,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,0.132,0.132,1000,,,
lua,1,loop,perf,Close,0.158,0.158,1,,,
lua,1,loop,function,parse multiple values of the same table,,,1,3.917,4.213,91,0
confh,2,loop,perf,Open,1.408,1.437,1,,,
confh,2,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,1.375,1.382,1000,,,
confh,2,loop,perf,Close,0.085,0.085,1,,,
confh,2,loop,function,parse multiple values of the same table,,,1,5.773,6.051,91,0
lua,2,loop,perf,Open,1.474,1.494,1,,,
lua,2,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,0.141,0.142,1000,,,
lua,2,loop,perf,Close,0.143,0.144,1,,,
lua,2,loop,function,parse multiple values of the same table,,,1,4.215,4.902,91,0
confh,3,loop,perf,Open,1.477,1.492,1,,,
confh,3,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,1.450,1.464,1000,,,
confh,3,loop,perf,Close,0.098,0.098,1,,,
confh,3,loop,function,parse multiple values of the same table,,,1,6.438,6.780,92,0
lua,3,loop,perf,Open,1.384,1.416,1,,,
lua,3,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,0.092,0.092,1000,,,
lua,3,loop,perf,Close,0.084,0.084,1,,,
lua,3,loop,function,parse multiple values of the same table,,,1,2.980,3.292,91,0
confh,4,loop,perf,Open,1.303,1.361,1,,,
confh,4,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,1.259,1.263,1000,,,
